               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.022344,            0.022956,           0.0030627,             0.56353,             0.59968,             0.55635,             0.34609,            0.027431,            0.038023,             0.02863,           0.0087724,           0.0087724,           0.0087724
                  64,            0.023391,            0.023905,           0.0035302,             0.62189,             0.52429,             0.55819,             0.34982,            0.028553,            0.040214,            0.025544,           0.0087526,           0.0087526,           0.0087526
                  65,            0.023055,            0.023518,           0.0032916,               0.544,             0.58143,             0.54881,             0.34408,            0.027647,            0.038843,            0.027829,           0.0087328,           0.0087328,           0.0087328
                  66,            0.022691,            0.023874,           0.0038251,              0.5939,             0.55906,             0.55161,             0.33453,            0.029148,            0.042907,            0.024948,            0.008713,            0.008713,            0.008713
                  67,            0.022116,            0.023349,           0.0033818,             0.55232,             0.54154,             0.53075,             0.33792,            0.027812,            0.045214,            0.029778,           0.0086932,           0.0086932,           0.0086932
                  68,             0.02285,            0.024077,           0.0038019,             0.57989,             0.50606,             0.51859,             0.32992,            0.027669,            0.045218,            0.027535,           0.0086734,           0.0086734,           0.0086734
                  69,            0.022115,            0.023364,           0.0037183,             0.63509,             0.49376,             0.54067,             0.33157,            0.028869,            0.044171,            0.028373,           0.0086536,           0.0086536,           0.0086536
                  70,            0.022404,            0.022799,            0.003347,              0.5848,             0.56807,             0.56388,             0.35817,            0.027426,            0.041747,            0.023962,           0.0086338,           0.0086338,           0.0086338
                  71,            0.022355,            0.023311,           0.0032759,             0.59923,             0.52424,             0.52605,             0.32417,            0.028376,            0.043354,            0.028059,            0.008614,            0.008614,            0.008614
                  72,            0.022403,            0.023367,           0.0029331,             0.60384,              0.5197,             0.55099,             0.34448,            0.027272,             0.04218,            0.027532,           0.0085942,           0.0085942,           0.0085942
                  73,            0.022023,            0.022843,           0.0032941,             0.58433,             0.51072,             0.53494,             0.32462,            0.028258,            0.043204,            0.027407,           0.0085744,           0.0085744,           0.0085744
                  74,            0.021951,            0.023422,           0.0034147,             0.57367,             0.52558,             0.56265,             0.34402,            0.028164,            0.042353,             0.02532,           0.0085546,           0.0085546,           0.0085546
                  75,            0.021851,            0.022306,           0.0034057,             0.54727,             0.53435,             0.51913,             0.32616,            0.027918,            0.047504,            0.027734,           0.0085348,           0.0085348,           0.0085348
                  76,            0.022088,            0.022531,           0.0037777,             0.54586,             0.53787,             0.51232,             0.32501,            0.028057,            0.046986,            0.027145,            0.008515,            0.008515,            0.008515
                  77,            0.022449,            0.023616,           0.0029854,             0.54658,             0.55075,             0.53008,             0.33378,            0.028092,            0.044836,            0.028339,           0.0084952,           0.0084952,           0.0084952
                  78,            0.022009,             0.02216,           0.0031964,             0.63916,             0.50002,             0.54727,             0.34583,            0.028474,            0.043442,            0.027296,           0.0084754,           0.0084754,           0.0084754
                  79,            0.021657,            0.022783,           0.0035653,             0.55644,             0.53692,             0.51666,             0.33342,            0.027849,             0.04722,            0.025583,           0.0084556,           0.0084556,           0.0084556
                  80,             0.02205,             0.02331,           0.0029698,             0.57817,             0.52568,             0.52101,             0.32786,            0.027563,            0.046499,            0.027929,           0.0084358,           0.0084358,           0.0084358
                  81,            0.021959,            0.022788,           0.0032477,             0.64522,             0.50914,             0.57542,             0.36659,            0.027163,            0.042183,            0.029058,            0.008416,            0.008416,            0.008416
                  82,            0.021001,            0.022464,           0.0035483,             0.61034,             0.53732,             0.58033,             0.37408,            0.027924,            0.046095,            0.023275,           0.0083962,           0.0083962,           0.0083962
                  83,            0.021745,            0.022797,           0.0034334,             0.60779,             0.51318,             0.54901,             0.35195,            0.027292,            0.043725,            0.027904,           0.0083764,           0.0083764,           0.0083764
                  84,            0.020853,            0.022168,           0.0029772,             0.62747,             0.50394,             0.54487,             0.33943,            0.027906,            0.046171,             0.02611,           0.0083566,           0.0083566,           0.0083566
                  85,            0.020744,            0.021892,           0.0035174,             0.62057,             0.51812,             0.54474,             0.34339,            0.027889,            0.045882,            0.025669,           0.0083368,           0.0083368,           0.0083368
                  86,            0.021476,            0.021925,           0.0028704,             0.60093,             0.53791,              0.5625,             0.35675,            0.027715,            0.042005,            0.026743,            0.008317,            0.008317,            0.008317
                  87,            0.021073,             0.02252,           0.0029533,             0.54825,             0.52966,             0.53697,             0.33787,            0.028158,            0.046483,            0.028384,           0.0082972,           0.0082972,           0.0082972
                  88,             0.02174,            0.022991,           0.0034907,             0.58742,             0.51621,             0.54149,             0.34453,            0.027294,            0.044289,            0.029296,           0.0082774,           0.0082774,           0.0082774
                  89,            0.021675,             0.02252,           0.0029591,             0.53773,             0.55786,             0.52993,             0.33592,             0.02711,            0.042323,            0.028265,           0.0082576,           0.0082576,           0.0082576
                  90,            0.021737,            0.022404,           0.0029972,             0.56679,             0.53187,             0.53717,             0.33757,            0.027748,             0.04508,            0.024964,           0.0082378,           0.0082378,           0.0082378
                  91,            0.021225,            0.022291,           0.0032702,             0.61377,             0.53337,              0.5539,             0.34749,             0.02811,            0.043992,            0.025347,            0.008218,            0.008218,            0.008218
                  92,            0.020714,             0.02204,           0.0034289,             0.54783,             0.56372,             0.54468,              0.3476,             0.02736,            0.045329,            0.026674,           0.0081982,           0.0081982,           0.0081982
                  93,            0.021114,            0.022526,           0.0029235,             0.54752,             0.53937,              0.5374,             0.34198,            0.028001,               0.046,            0.029123,           0.0081784,           0.0081784,           0.0081784
                  94,            0.020484,            0.022749,            0.002945,             0.52349,             0.59274,             0.55951,             0.35335,            0.027465,            0.042989,            0.027026,           0.0081586,           0.0081586,           0.0081586
                  95,            0.020749,            0.021868,           0.0024478,             0.53042,             0.51652,             0.50356,             0.32198,            0.028422,            0.047323,            0.035907,           0.0081388,           0.0081388,           0.0081388
                  96,            0.021014,            0.021973,           0.0028527,             0.57699,             0.52751,             0.53414,             0.34083,            0.028532,            0.045134,            0.029237,            0.008119,            0.008119,            0.008119
                  97,            0.020403,            0.021899,           0.0028175,             0.55876,             0.53408,             0.50924,             0.32828,            0.028164,            0.046688,            0.028817,           0.0080992,           0.0080992,           0.0080992
                  98,            0.021201,            0.022332,           0.0023573,             0.54271,             0.55461,             0.52368,             0.33809,            0.027858,            0.046391,             0.02745,           0.0080794,           0.0080794,           0.0080794
                  99,            0.020485,            0.020854,           0.0028324,              0.5597,               0.562,             0.54351,             0.35275,            0.027995,            0.045974,            0.026377,           0.0080596,           0.0080596,           0.0080596
                 100,            0.019891,            0.021224,           0.0032268,             0.55599,              0.5387,              0.5402,             0.33988,            0.028462,            0.048012,            0.027349,           0.0080398,           0.0080398,           0.0080398
                 101,            0.020972,            0.021122,           0.0029991,             0.56588,             0.55102,             0.53512,             0.33173,            0.028629,             0.04803,            0.027331,             0.00802,             0.00802,             0.00802
                 102,            0.020676,            0.021144,           0.0024531,             0.54408,             0.52046,              0.5209,             0.32951,            0.028157,            0.047264,            0.029385,           0.0080002,           0.0080002,           0.0080002
                 103,            0.020506,            0.020898,           0.0023074,             0.54162,             0.49147,             0.49437,             0.31694,             0.02801,             0.05059,            0.030213,           0.0079804,           0.0079804,           0.0079804
                 104,            0.020136,            0.020942,           0.0028752,             0.52225,             0.53032,             0.51255,             0.32868,            0.028457,            0.049256,            0.031653,           0.0079606,           0.0079606,           0.0079606
                 105,             0.02095,            0.021624,           0.0025188,             0.56006,             0.52027,             0.52411,             0.33977,            0.027684,            0.046607,             0.03233,           0.0079408,           0.0079408,           0.0079408
                 106,            0.020543,            0.020943,           0.0025473,             0.55486,               0.544,             0.52316,             0.33478,            0.028246,            0.049477,            0.029348,            0.007921,            0.007921,            0.007921
                 107,            0.021037,            0.020982,           0.0024881,             0.56516,             0.55707,             0.54728,             0.34721,            0.028015,            0.048258,            0.028274,           0.0079012,           0.0079012,           0.0079012
                 108,            0.020717,            0.021671,           0.0021457,             0.58819,             0.52952,              0.5261,             0.33728,            0.028427,            0.046628,            0.031104,           0.0078814,           0.0078814,           0.0078814
                 109,            0.020628,            0.022148,           0.0028375,             0.54862,             0.52877,              0.5031,             0.32118,            0.028548,            0.049833,            0.027925,           0.0078616,           0.0078616,           0.0078616
                 110,            0.020344,            0.020795,           0.0024549,             0.55367,             0.55081,              0.5302,             0.33549,            0.028074,             0.04796,            0.030893,           0.0078418,           0.0078418,           0.0078418
                 111,            0.019991,            0.021507,           0.0024844,             0.57684,             0.52923,             0.53859,             0.34267,            0.028769,            0.050372,            0.031059,            0.007822,            0.007822,            0.007822
                 112,            0.019968,            0.020836,           0.0031631,             0.56357,              0.5696,             0.55072,             0.35042,            0.028056,            0.046234,             0.03081,           0.0078022,           0.0078022,           0.0078022
                 113,             0.02001,            0.021209,           0.0021033,             0.62751,             0.50162,             0.52909,             0.33686,             0.02826,            0.050254,             0.03156,           0.0077824,           0.0077824,           0.0077824
                 114,            0.020087,            0.020871,           0.0023828,             0.57373,             0.51064,             0.50877,             0.32881,            0.028834,            0.050446,            0.030821,           0.0077626,           0.0077626,           0.0077626
                 115,            0.019956,            0.021285,           0.0024342,             0.58616,             0.51287,             0.51951,              0.3288,            0.028614,            0.050505,            0.030916,           0.0077428,           0.0077428,           0.0077428
                 116,            0.019761,             0.02087,           0.0023179,             0.62961,             0.47043,             0.51713,             0.33462,            0.028184,            0.049171,            0.030855,            0.007723,            0.007723,            0.007723
                 117,             0.01957,            0.020132,           0.0027026,             0.57942,              0.5198,              0.5263,             0.33925,            0.027787,            0.046062,            0.030003,           0.0077032,           0.0077032,           0.0077032
                 118,            0.019589,            0.021301,           0.0029046,             0.55706,             0.50671,             0.49936,             0.31584,            0.029236,            0.050166,             0.02784,           0.0076834,           0.0076834,           0.0076834
                 119,            0.019542,            0.020577,           0.0027426,             0.56834,             0.49768,             0.51332,             0.33548,            0.028253,            0.048252,            0.029438,           0.0076636,           0.0076636,           0.0076636
